median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
452600,8.3252,41,880,129,322,126,37.88,-122.23
358500,8.3014,21,7099,1106,2401,1138,37.86,-122.22
352100,7.2574,52,1467,190,496,177,37.85,-122.24
341300,5.6431,52,1274,235,558,219,37.85,-122.25
342200,3.8462,52,1627,280,565,259,37.85,-122.25
269700,4.0368,52,919,213,413,193,37.85,-122.25
299200,3.6591,52,2535,489,1094,514,37.84,-122.25
241400,3.12,52,3104,687,1157,647,37.84,-122.25
226700,2.0804,42,2555,665,1206,595,37.84,-122.26
261100,3.6912,52,3549,707,1551,714,37.84,-122.25
